,date,temperature_2m_min,temperature_2m_max,wind_gusts_10m_max,wind_speed_10m_max,wind_direction_10m_dominant,relative_humidity_2m_mean,surface_pressure_mean,temperature_2m_mean,apparent_temperature_mean,precipitation_hours,weather_code,precipitation_sum,rain_tomorrow
0,2024-06-30 23:00:00+00:00,12.626,18.876,35.28,17.771753,296.00632,65.4647,1013.3569,16.06975,14.08329,0,3,0,0
1,2024-07-01 23:00:00+00:00,12.776,17.276,37.8,19.319628,319.62286,68.66294,1013.6521,14.942666,12.75929,3,51,0.3,1
2,2024-07-02 23:00:00+00:00,12.176,17.925999,40.68,21.178896,231.57019,75.60198,1005.13837,14.778084,13.13238,7,55,2.1000001,0
3,2024-07-03 23:00:00+00:00,12.126,19.325998,54.719997,28.202042,269.44293,59.735443,1004.5984,15.640583,12.13392,2,53,1.1,1
4,2024-07-04 23:00:00+00:00,13.226,20.526,50.76,27.06472,227.93245,83.28321,1002.14795,15.792668,14.50189,16,63,20.999998,1
5,2024-07-05 23:00:00+00:00,11.926,15.976,56.88,28.137634,254.82408,77.65332,997.4826,14.234334,11.33816,17,61,9.500001,1
6,2024-07-06 23:00:00+00:00,9.776,17.276,44.639996,20.592503,226.3832,77.080025,1005.5432,13.478082,11.17502,10,63,6.5000005,1
7,2024-07-07 23:00:00+00:00,9.276,18.876,30.239998,16.167967,175.73222,81.25547,1010.87286,14.461418,13.41331,11,55,4.6000004,1
8,2024-07-08 23:00:00+00:00,14.726,19.925999,39.6,21.461555,164.95087,89.9108,1006.6162,16.873919,16.2169,17,61,16.099998,1
9,2024-07-09 23:00:00+00:00,14.476,20.226,51.12,26.474075,226.49052,76.43627,1007.9161,17.546835,15.57558,7,51,1.0000001,0
10,2024-07-10 23:00:00+00:00,11.776,21.026,31.68,15.509274,274.09406,70.852806,1012.9422,16.705168,15.39727,1,51,0.2,1
11,2024-07-11 23:00:00+00:00,12.876,16.876,37.8,18.388212,14.505413,75.27921,1012.767,14.551002,12.54663,6,53,1.9000001,0
12,2024-07-12 23:00:00+00:00,11.376,17.976,32.399998,15.580141,293.87524,72.926765,1009.893,14.701,13.09297,2,51,0.3,0
13,2024-07-13 23:00:00+00:00,10.776,20.425999,31.319998,14.336861,241.37492,75.21071,1007.92194,15.921832,14.96577,5,51,0.5,1
14,2024-07-14 23:00:00+00:00,10.976,20.626,32.760002,16.548256,146.3826,83.31877,1004.71893,16.267668,16.04058,9,63,10.299999,1
15,2024-07-15 23:00:00+00:00,13.876,20.376,36.36,18.837322,256.16022,78.383606,1005.00195,17.19475,16.08466,7,53,1.2000002,0
16,2024-07-16 23:00:00+00:00,12.376,22.026,23.4,13.0447235,255.44919,74.20694,1015.8089,17.532248,17.30667,0,3,0,0
17,2024-07-17 23:00:00+00:00,11.726,25.825998,34.56,16.808569,182.71545,73.56815,1016.60944,19.055166,19.29195,0,3,0,0
18,2024-07-18 23:00:00+00:00,14.476,28.626,33.12,15.937878,155.97614,70.500946,1012.3212,22.009333,22.90818,1,51,0.1,0
19,2024-07-19 23:00:00+00:00,15.826,23.626,37.8,18.681883,213.9754,79.16533,1004.5098,19.755165,19.81282,3,51,0.4,0
20,2024-07-20 23:00:00+00:00,16.425999,21.325998,30.960001,14.57889,281.16238,73.9114,1006.021,18.85725,18.51256,0,3,0,0
21,2024-07-21 23:00:00+00:00,12.576,23.276,54.719997,28.28464,222.65468,75.43856,1010.271,18.315582,16.85041,4,51,0.4,1
22,2024-07-22 23:00:00+00:00,16.825998,22.876,36,18.089775,302.44156,76.52592,1013.3194,19.04475,18.85672,8,53,2.3999999,0
23,2024-07-23 23:00:00+00:00,14.426,23.126,42.839996,21.370783,190.23225,77.05862,1016.2142,18.626001,18.33306,5,51,0.90000004,1
24,2024-07-24 23:00:00+00:00,15.676,19.726,46.8,23.469128,213.1676,87.64187,1007.5607,17.65725,16.93769,10,55,2.5,0
25,2024-07-25 23:00:00+00:00,12.926,21.325998,33.12,17.518356,252.8631,71.32314,1006.58514,17.659334,16.41197,1,51,0.1,0
26,2024-07-26 23:00:00+00:00,12.976,21.575998,26.28,12.661564,281.4372,67.847466,1010.70044,17.24475,16.4089,0,3,0,0
27,2024-07-27 23:00:00+00:00,11.176,23.925999,27.72,13.891522,139.44743,70.630295,1020.43414,18.017668,17.97652,0,3,0,0
28,2024-07-28 23:00:00+00:00,13.376,26.425999,30.960001,16.263872,105.80095,67.72056,1017.38995,19.969751,19.81764,0,0,0,0
29,2024-07-29 23:00:00+00:00,15.276,28.825998,35.28,17.339897,76.81704,65.336494,1012.8841,21.886415,22.45489,0,3,0,0
30,2024-07-30 23:00:00+00:00,17.526,26.276,40.32,19.083395,78.80427,62.566807,1011.0679,21.036417,20.34511,1,51,0.1,0
31,2024-07-31 23:00:00+00:00,16.726,27.075998,20.880001,11.620809,79.836525,74.226524,1008.8184,21.046835,22.35694,5,63,10,1
32,2024-08-01 23:00:00+00:00,16.575998,25.726,34.2,16.75064,238.78584,76.69135,1007.89606,20.66767,21.67604,8,61,3.7999995,0
33,2024-08-02 23:00:00+00:00,16.675999,23.675999,41.399998,20.073025,250.90868,69.750984,1007.06055,19.936415,19.14981,4,51,0.7,0
34,2024-08-03 23:00:00+00:00,13.126,22.026,29.519999,15.617529,253.38722,63.129063,1010.9831,17.271833,15.80959,0,3,0,0
35,2024-08-04 23:00:00+00:00,13.476,24.376,41.039997,20.188908,215.70674,74.744514,1008.58105,18.880167,18.03087,0,3,0,0
36,2024-08-05 23:00:00+00:00,15.526,21.675999,39.96,20.771093,222.93704,78.152145,1005.4471,18.7885,18.36697,5,53,1.9000001,0
37,2024-08-06 23:00:00+00:00,11.776,20.876,45.719997,22.38378,244.629,69.05074,1008.1149,16.950998,15.05497,0,3,0,0
38,2024-08-07 23:00:00+00:00,12.576,20.925999,61.920002,32.379993,214.99901,78.07633,1009.6423,17.551,15.68788,0,3,0,0
39,2024-08-08 23:00:00+00:00,16.175999,23.776,48.6,25.72174,249.6558,67.28916,1009.42694,20.286417,18.60442,3,51,0.3,0
40,2024-08-09 23:00:00+00:00,13.876,23.126,44.639996,22.9724,237.83357,74.59927,1015.33057,18.655167,17.77461,0,3,0,0
41,2024-08-10 23:00:00+00:00,15.276,26.376,33.48,18.391735,87.337006,72.78931,1015.8886,20.611418,20.73632,0,3,0,0
42,2024-08-11 23:00:00+00:00,18.476,31.276,39.96,19.35314,161.41496,69.37126,1005.13306,24.207247,25.00094,0,2,0,0
43,2024-08-12 23:00:00+00:00,13.726,25.376,36,17.174677,231.17303,64.647064,1005.3759,19.66975,18.94038,0,3,0,0
44,2024-08-13 23:00:00+00:00,16.226,23.925999,22.68,10.703569,279.60513,75.39091,1009.1675,19.83225,20.46825,2,51,0.2,0
45,2024-08-14 23:00:00+00:00,13.526,21.976,63.72,33.108257,225.71384,78.75805,1010.35504,18.671835,17.2253,1,51,0.1,0
46,2024-08-15 23:00:00+00:00,15.276,22.476,38.519997,19.694992,295.086,67.83083,1010.45526,19.015583,18.7924,3,53,1.9000001,0
47,2024-08-16 23:00:00+00:00,12.226,21.776,22.319998,12.594856,309.2731,62.713497,1009.41595,17.111416,16.08322,0,3,0,0
48,2024-08-17 23:00:00+00:00,12.226,23.876,33.48,15.745627,283.37494,65.1677,1009.9681,18.015585,16.5978,0,3,0,0
49,2024-08-18 23:00:00+00:00,11.676,21.226,59.039997,30.77105,213.06808,72.355415,1011.44403,17.005167,15.34523,1,51,0.4,1
50,2024-08-19 23:00:00+00:00,14.726,21.876,47.88,23.441502,240.81416,69.54961,1005.6076,18.680166,16.80369,6,51,1,0
51,2024-08-20 23:00:00+00:00,11.476,19.376,48.239998,24.014996,247.72559,63.991253,1012.242,15.896835,12.80495,0,3,0,1
52,2024-08-21 23:00:00+00:00,15.076,19.776,70.92,37.84283,215.95087,78.67589,1002.9758,17.423918,14.53576,6,51,0.8000001,0
53,2024-08-22 23:00:00+00:00,15.676,21.276,68.4,35.747112,231.39278,66.64585,999.7331,18.532251,15.73827,5,61,3,1
54,2024-08-23 23:00:00+00:00,13.126,16.976,37.8,17.057314,229.87395,83.62661,1001.2459,15.365582,14.42808,12,61,9.000001,0
55,2024-08-24 23:00:00+00:00,9.976,19.175999,57.96,29.28418,231.59837,69.91358,1013.32306,14.884332,11.76974,2,51,0.2,0
56,2024-08-25 23:00:00+00:00,13.726,21.675999,40.68,20.3774,228.14839,72.294716,1014.8732,17.38225,15.62128,0,3,0,0
57,2024-08-26 23:00:00+00:00,14.526,23.476,42.48,21.129883,188.99547,74.20347,1014.0444,18.382254,17.40618,0,3,0,0
58,2024-08-27 23:00:00+00:00,12.826,26.626,34.2,17.22742,168.0755,70.31437,1009.39746,19.71975,19.44643,0,3,0,0
59,2024-08-28 23:00:00+00:00,12.626,21.425999,36,16.954432,270.2938,68.38947,1013.6822,17.090586,15.66989,0,3,0,0
60,2024-08-29 23:00:00+00:00,11.576,21.675999,30.599998,15.281989,39.367123,65.877235,1018.80634,16.4385,14.82385,0,3,0,0
61,2024-08-30 23:00:00+00:00,13.226,20.675999,50.399998,25.364037,59.866432,73.18911,1018.6169,17.103083,14.96036,0,3,0,0
62,2024-08-31 23:00:00+00:00,15.926,26.526,36.36,17.811815,71.56493,80.766075,1010.1921,20.4385,20.97236,1,61,1.9,1
63,2024-09-01 23:00:00+00:00,17.175999,22.626,44.28,21.566973,191.3099,87.284386,1006.3806,19.36558,19.90973,6,55,2.1999998,1
64,2024-09-02 23:00:00+00:00,15.176,21.925999,31.319998,14.408997,250.78278,82.00231,1008.40063,18.396832,18.60049,14,61,4.599999,0
65,2024-09-03 23:00:00+00:00,13.576,18.726,25.919998,13.32,347.93137,73.37042,1012.5439,16.105167,15.2851,1,51,0.1,0
66,2024-09-04 23:00:00+00:00,13.576,21.976,62.279995,32.647057,35.382786,84.88781,1008.6372,17.500998,16.53824,5,61,5.1,0
67,2024-09-05 23:00:00+00:00,16.075998,25.325998,37.8,18.584509,240.56154,88.796455,1005.8476,18.942665,20.15122,4,51,0.5,0
68,2024-09-06 23:00:00+00:00,12.876,21.925999,19.08,10.383987,127.97726,85.68641,1005.7266,17.103085,17.87467,4,55,1.9000001,1
69,2024-09-07 23:00:00+00:00,13.476,19.825998,33.48,13.698934,188.17807,85.90604,1000.20636,16.134333,16.26124,8,63,6.8999996,0
70,2024-09-08 23:00:00+00:00,12.076,17.026,50.039997,25.476198,302.9475,78.29603,1005.11786,15.078083,13.10569,0,3,0,1
71,2024-09-09 23:00:00+00:00,10.626,18.276,62.279995,33.033802,253.54965,77.93428,1004.385,14.048919,11.06321,8,61,4.4,0
72,2024-09-10 23:00:00+00:00,8.276,14.776,58.32,29.337238,283.44388,68.79012,1004.69183,11.101001,7.130764,1,53,0.9,0
73,2024-09-11 23:00:00+00:00,6.976,14.076,38.519997,18.844202,311.85983,75.019356,1011.7903,9.855166,6.628502,4,63,3.5,0
74,2024-09-12 23:00:00+00:00,6.076,15.576,25.919998,14.81259,330.18103,67.539635,1023.6623,11.003083,8.41151,0,3,0,0
75,2024-09-13 23:00:00+00:00,5.526,17.925999,29.88,13.70839,232.69218,71.7985,1026.3245,12.036416,9.950989,0,3,0,0
76,2024-09-14 23:00:00+00:00,8.426,18.626,34.56,16.62249,247.39319,81.230644,1022.95825,13.394752,11.93253,3,53,0.90000004,0
77,2024-09-15 23:00:00+00:00,10.926,19.376,29.88,16.87398,5.2019315,75.43455,1024.2026,15.04475,13.47321,0,3,0,0
78,2024-09-16 23:00:00+00:00,9.676,20.126,40.68,20.188908,39.80554,73.04558,1026.7081,14.725999,12.2987,0,3,0,0
79,2024-09-17 23:00:00+00:00,12.926,22.825998,46.44,23.83624,50.43882,76.3489,1024.1483,17.401001,15.59242,0,3,0,0
80,2024-09-18 23:00:00+00:00,14.576,23.575998,45,23.210928,45.567226,79.67684,1020.82227,18.1385,16.78353,1,51,0.1,0
81,2024-09-19 23:00:00+00:00,13.276,22.276,47.16,23.185787,51.62234,79.1916,1017.1069,17.455164,15.99323,4,53,1.1,0
82,2024-09-20 23:00:00+00:00,15.076,23.226,36.36,16.981165,78.253746,78.705376,1013.6093,18.415583,17.86591,3,51,0.3,1
83,2024-09-21 23:00:00+00:00,15.276,20.026,35.28,14.917212,90.459076,88.790245,1008.23584,17.251,17.48696,19,63,12.000002,1
84,2024-09-22 23:00:00+00:00,14.626,17.726,45,22.961115,221.01515,90.39758,999.93335,15.582252,14.55653,20,63,34.100002,1
85,2024-09-23 23:00:00+00:00,12.526,16.325998,34.92,17.414474,272.1323,80.44637,998.93555,14.571835,12.96702,7,63,7.1,1
86,2024-09-24 23:00:00+00:00,10.526,16.476,42.839996,21.36851,190.98131,82.27103,994.9996,13.261417,11.68309,12,63,10.999999,1
87,2024-09-25 23:00:00+00:00,11.726,16.376,54.719997,29.004585,218.17514,89.03922,982.78735,13.594749,11.52242,15,63,11.299999,1
88,2024-09-26 23:00:00+00:00,7.576,12.626,60.479996,32.2205,314.5954,78.11746,995.9218,10.692666,6.825572,14,55,4.7,0
89,2024-09-27 23:00:00+00:00,5.226,13.526,33.48,16.16897,297.04083,74.223656,1018.5335,9.3135,6.544012,0,3,0,0
90,2024-09-28 23:00:00+00:00,6.176,14.276,60.479996,27.388998,143.6954,74.30221,1016.3784,10.640584,7.194609,3,55,2.4,1
91,2024-09-29 23:00:00+00:00,11.576,16.276,61.199997,32.85678,214.82729,84.72643,998.0725,13.692666,10.5097,13,63,15.6,1
92,2024-09-30 23:00:00+00:00,11.526,14.326,55.8,28.108831,295.6104,85.52303,1002.4274,12.630166,9.412389,6,63,8.2,1
93,2024-10-01 23:00:00+00:00,10.826,16.425999,52.56,28.547455,21.620394,84.15554,1009.0141,13.584332,10.94887,11,51,1.5000002,0
94,2024-10-02 23:00:00+00:00,8.676,15.026,35.28,19.022177,46.238277,79.50388,1017.0418,11.423916,9.033056,3,51,0.3,0
95,2024-10-03 23:00:00+00:00,5.776,15.826,28.08,15.844089,126.51576,77.86522,1017.17865,10.590585,8.695965,0,3,0,0
96,2024-10-04 23:00:00+00:00,6.076,16.325998,36.719997,18.875126,140.0425,76.070724,1011.2896,11.413501,8.701615,0,3,0,0
97,2024-10-05 23:00:00+00:00,11.276,15.076,45.719997,23.602661,151.69751,80.53765,996.9678,13.340584,10.80145,3,61,2.6999998,1
98,2024-10-06 23:00:00+00:00,11.376,17.575998,42.12,20.251398,198.4758,86.29139,993.5491,13.984332,12.27133,9,55,3.5,1
99,2024-10-07 23:00:00+00:00,12.026,17.075998,49.32,24.490585,187.04332,85.87035,988.8101,13.982251,12.01804,15,55,4.1999993,1
100,2024-10-08 23:00:00+00:00,12.326,15.676,41.399998,22.884789,264.83514,86.20118,982.9904,13.569749,11.62624,11,61,3.2999997,1
101,2024-10-09 23:00:00+00:00,4.926,12.326,44.28,22.396803,340.7823,78.44794,1000.2724,9.39475,6.156283,9,61,3.6,0
102,2024-10-10 23:00:00+00:00,2.126,11.626,18,10.120099,251.13087,78.03733,1012.1433,6.828083,4.40524,0,3,0,1
103,2024-10-11 23:00:00+00:00,7.226,14.526,46.8,21.262869,197.43631,79.80283,1004.6607,10.103084,7.001521,9,53,3.5999997,0
104,2024-10-12 23:00:00+00:00,5.026,10.626,42.48,23.177402,276.9162,71.03114,1013.28076,7.9426675,4.81179,0,3,0,1
105,2024-10-13 23:00:00+00:00,7.276,12.476,46.079998,23.763409,89.12096,84.93532,1011.414,10.228084,7.595398,8,63,16.8,0
106,2024-10-14 23:00:00+00:00,9.526,15.876,39.239998,21.576738,109.960846,92.15835,1010.1911,12.901002,11.25053,1,51,0.1,1
107,2024-10-15 23:00:00+00:00,13.926,20.976,47.88,22.885498,148.759,89.80358,999.09906,16.782248,15.86493,7,61,3.7,1
108,2024-10-16 23:00:00+00:00,9.926,16.925999,33.839996,15.696165,226.57799,87.69116,1004.8584,14.648917,13.8198,6,61,2.7999997,0
109,2024-10-17 23:00:00+00:00,8.426,15.676,32.399998,16.78156,215.69719,90.05249,1010.08417,11.246834,9.671014,1,51,0.3,1
110,2024-10-18 23:00:00+00:00,9.926,15.876,38.519997,19.898752,204.28627,87.93563,1007.16895,13.403085,11.91135,12,61,8.9,1
111,2024-10-19 23:00:00+00:00,10.126,17.126,63.72,33.25375,198.54219,88.233765,1006.9309,13.603085,10.72011,9,53,3.6,1
112,2024-10-20 23:00:00+00:00,10.026,14.276,45,23.933908,224.9999,84.619606,1016.0351,12.392667,10.30379,10,51,1.3000002,0
113,2024-10-21 23:00:00+00:00,8.126,15.426,45,23.27296,232.9569,89.642395,1023.38153,11.084335,9.16903,0,3,0,0
114,2024-10-22 23:00:00+00:00,8.276,16.075998,30.599998,15.489414,193.1972,91.36967,1027.0424,11.694751,10.45578,1,51,0.1,0
115,2024-10-23 23:00:00+00:00,9.276,16.026,35.28,16.733225,139.02385,89.39126,1016.09283,12.105167,10.28254,0,3,0,0
116,2024-10-24 23:00:00+00:00,11.076,17.376,33.48,17.504478,152.63435,92.86648,1009.9024,13.898917,13.14919,5,53,1.7,0
117,2024-10-25 23:00:00+00:00,8.226,15.176,18.359999,7.5685663,196.43423,95.67572,1012.0586,11.184333,10.67958,0,3,0,0
118,2024-10-26 23:00:00+00:00,7.226,13.576,26.64,14.799459,251.376,87.32436,1017.10767,10.265585,8.59284,0,3,0,0
119,2024-10-27 23:00:00+00:00,10.626,15.026,47.16,24.337303,226.25948,89.09253,1017.4316,13.121837,10.77185,1,51,0.2,0
120,2024-10-28 23:00:00+00:00,11.326,15.176,29.16,14.386494,270.5556,91.31546,1019.95435,13.667666,13.17455,1,51,0.2,0
121,2024-10-29 23:00:00+00:00,7.876,13.876,21.599998,11.9317045,356.58255,91.83017,1024.7451,10.682251,9.482851,0,3,0,0
122,2024-10-30 23:00:00+00:00,6.676,13.726,14.759999,7.1321807,314.52393,95.12316,1023.3658,9.178084,8.09628,0,3,0,0
123,2024-10-31 23:00:00+00:00,7.826,12.176,25.919998,12.483748,291.44778,90.56316,1021.0954,10.253084,8.834415,0,3,0,0
124,2024-11-01 23:00:00+00:00,9.926,14.126,24.119999,13.363711,74.78564,89.23343,1026.0182,12.0135,10.7495,0,3,0,0
125,2024-11-02 23:00:00+00:00,10.776,13.426,26.28,13.091829,95.26356,85.66396,1024.705,11.890583,10.44032,0,3,0,0
126,2024-11-03 23:00:00+00:00,9.826,12.526,22.68,10.564941,96.111336,85.14118,1021.8068,10.936417,9.441218,0,3,0,0
127,2024-11-04 23:00:00+00:00,9.026,13.026,14.4,7.2359104,4.053476,89.281654,1019.1845,10.665583,9.767439,0,3,0,0
128,2024-11-05 23:00:00+00:00,9.076,11.976,12.959999,6.638072,123.42486,91.94196,1026.0801,10.58225,9.888402,2,51,0.2,0
129,2024-11-06 23:00:00+00:00,9.826,12.026,28.8,13.543131,98.97006,89.08274,1026.7211,10.730167,9.085214,0,3,0,0
130,2024-11-07 23:00:00+00:00,7.676,9.876,26.28,12.979984,106.24396,84.89467,1022.02594,8.909333,6.60752,1,51,0.1,0
131,2024-11-08 23:00:00+00:00,5.876,9.026,11.5199995,4.8733153,297.84317,83.06342,1020.12836,7.728084,6.061224,0,3,0,0
132,2024-11-09 23:00:00+00:00,4.026,11.076,19.08,10.874741,241.03242,90.22535,1023.6878,8.234333,6.40822,0,3,0,0
133,2024-11-10 23:00:00+00:00,5.976,11.326,31.319998,16.733225,333.64755,84.60526,1030.191,8.851003,5.968736,0,3,0,0
134,2024-11-11 23:00:00+00:00,5.826,11.976,54,28.467327,12.262749,82.53058,1031.4784,8.636416,4.816006,2,51,0.2,0
135,2024-11-12 23:00:00+00:00,6.326,11.126,28.44,13.363711,355.5206,86.06315,1030.9423,8.296833,5.984354,0,3,0,0
136,2024-11-13 23:00:00+00:00,7.076,11.326,33.48,14.474059,2.3858855,88.02024,1027.4884,9.292666,7.375366,3,51,0.70000005,0
137,2024-11-14 23:00:00+00:00,5.476,9.676,18,8.4042845,267.22577,84.27186,1023.58844,7.4030833,5.430272,0,3,0,0
138,2024-11-15 23:00:00+00:00,3.776,10.426,25.919998,13.125196,246.79552,91.23272,1014.92456,7.1614165,4.642556,2,53,0.7,0
139,2024-11-16 23:00:00+00:00,6.676,9.476,39.239998,18,275.66202,83.411896,1010.4121,7.848917,4.677649,3,51,0.5,1
140,2024-11-17 23:00:00+00:00,5.326,7.276,28.44,14.411245,42.01852,92.15372,1005.9913,6.6093345,4.405904,11,61,7.4,1
141,2024-11-18 23:00:00+00:00,0.926,10.276,44.639996,21.010712,333.2484,94.51145,993.95703,3.7947502,0.134059,14,75,10.7,0
142,2024-11-19 23:00:00+00:00,-0.124000005,4.626,45,19.72212,292.49762,75.13297,1004.2431,1.3405833,-3.28873,0,3,0,0
143,2024-11-20 23:00:00+00:00,-0.67399997,3.076,29.88,14.739132,285.61542,85.382355,998.0432,0.4655834,-3.07175,0,3,0,0
144,2024-11-21 23:00:00+00:00,0.57600003,6.026,53.639996,22.66142,267.6982,77.81036,1002.6477,2.8218334,-1.68033,2,73,1,1
145,2024-11-22 23:00:00+00:00,0.87600005,13.826,70.2,34.942265,190.4841,88.697754,1000.22833,7.598917,3.427247,19,61,9.799999,1
146,2024-11-23 23:00:00+00:00,13.076,17.075998,82.799995,36.571907,202.88547,77.03532,991.0415,15.694751,11.41845,13,61,6.6000004,1
147,2024-11-24 23:00:00+00:00,6.726,12.026,43.199997,19.201874,229.30925,78.894295,996.73676,9.944752,6.595696,6,53,1.7000002,0
148,2024-11-25 23:00:00+00:00,4.826,8.926,28.08,13.619472,222.30002,84.9519,1010.523,6.3822503,3.689169,0,3,0,1
149,2024-11-26 23:00:00+00:00,2.426,7.926,53.639996,23.710857,342.8014,91.48031,1008.6201,5.671833,2.24377,11,63,21,0
150,2024-11-27 23:00:00+00:00,-0.92399997,5.626,19.44,10.799999,30.642035,93.014595,1023.4599,2.2801669,-0.53099,0,3,0,0
151,2024-11-28 23:00:00+00:00,2.676,8.876,31.319998,15.771329,142.93083,85.73666,1022.4506,5.4551663,1.900211,0,3,0,0
152,2024-11-29 23:00:00+00:00,6.826,13.176,28.8,13.976394,180.37471,92.48548,1019.1976,10.7135,8.960738,0,3,0,0
153,2024-11-30 23:00:00+00:00,9.926,12.676,36,18.498886,187.88304,93.83191,1010.6199,11.261416,9.065904,5,61,3.2,0
154,2024-12-01 23:00:00+00:00,7.476,11.426,42.48,18.228943,262.97076,87.35699,1008.4655,8.948916,5.990189,2,51,0.2,0
155,2024-12-02 23:00:00+00:00,2.226,7.176,27.72,12.081473,345.4386,86.18124,1018.14307,5.1426663,2.687998,0,3,0,0
156,2024-12-03 23:00:00+00:00,1.4760001,9.026,38.519997,19.343927,212.86722,89.37964,1020.2488,5.5489173,2.829619,2,51,0.5,1
157,2024-12-04 23:00:00+00:00,8.776,13.926,74.159996,34.141685,222.53462,90.3043,1004.09125,11.469749,8.199637,17,63,11.6,0
158,2024-12-05 23:00:00+00:00,6.326,9.826,66.24,30.04706,262.70374,74.16912,1008.68,7.728084,3.488857,2,53,1,1
159,2024-12-06 23:00:00+00:00,5.676,12.026,78.479996,35.816383,264.59732,82.2965,989.18024,7.9197507,2.371716,14,63,7.499999,1
160,2024-12-07 23:00:00+00:00,6.476,7.476,76.32,36.0045,350.5787,85.25975,1010.6636,6.896834,1.169449,19,53,5.9,0
161,2024-12-08 23:00:00+00:00,6.826,7.626,56.16,24.079666,23.161434,81.76539,1025.8427,7.2072506,2.725042,0,3,0,0
162,2024-12-09 23:00:00+00:00,5.876,6.926,46.8,21.313093,31.951136,80.84631,1028.4109,6.6322503,2.304594,0,3,0,0
163,2024-12-10 23:00:00+00:00,5.626,6.576,37.079998,16.62444,40.950935,83.01369,1028.4022,6.059334,2.527314,0,3,0,1
164,2024-12-11 23:00:00+00:00,5.076,7.676,26.64,12.616702,48.988865,93.5033,1027.1234,6.561417,4.441532,6,51,0.9,1
165,2024-12-12 23:00:00+00:00,3.676,6.576,15.84,7.029225,136.25131,91.62153,1021.76605,5.1634994,2.926244,8,51,1.1,0
166,2024-12-13 23:00:00+00:00,3.826,7.526,33.12,14.787414,273.6729,86.55853,1018.18304,5.292667,2.087556,1,51,0.1,0
167,2024-12-14 23:00:00+00:00,4.576,11.476,42.48,20.05203,252.12303,90.891754,1022.9599,8.663501,5.928396,0,3,0,0
168,2024-12-15 23:00:00+00:00,7.676,10.876,46.079998,22.086521,245.94691,84.34019,1026.3333,10.030166,6.981583,2,51,0.3,0
169,2024-12-16 23:00:00+00:00,5.426,10.326,41.760002,20.015642,196.93913,93.02854,1020.03784,8.055167,5.380371,0,3,0,1
170,2024-12-17 23:00:00+00:00,9.776,13.626,64.799995,30.037897,216.21086,85.77814,1002.5842,12.292667,8.761581,10,61,5.3,1
171,2024-12-18 23:00:00+00:00,4.076,12.326,63,30.126749,287.27905,80.45575,1001.8868,6.6093345,2.175719,7,55,1.6,0
172,2024-12-19 23:00:00+00:00,2.226,7.926,39.6,18.626305,244.77509,86.37495,1014.47943,5.1635003,1.581041,4,53,1,0
173,2024-12-20 23:00:00+00:00,4.876,12.026,56.88,24.31333,246.43364,87.178215,1007.0185,7.9093337,4.171637,4,55,1.5000001,0
174,2024-12-21 23:00:00+00:00,3.976,7.476,62.639996,29.295795,282.49014,69.29356,1001.3465,5.39475,-0.18605,3,73,1.4000001,1
175,2024-12-22 23:00:00+00:00,3.726,6.126,59.76,27.619884,300.2144,74.126045,1017.3738,5.0176663,0.765408,6,51,0.90000004,0
176,2024-12-23 23:00:00+00:00,5.726,12.176,28.44,12.98248,255.9188,95.83368,1021.3431,9.334334,7.644867,0,3,0,0
177,2024-12-24 23:00:00+00:00,8.326,10.226,24.84,10.299397,247.63513,95.547615,1028.4816,9.115583,7.768435,0,3,0,0
178,2024-12-25 23:00:00+00:00,6.776,8.326,11.5199995,5.5916004,174.44014,93.332695,1030.7635,7.448917,6.082989,0,3,0,0
179,2024-12-26 23:00:00+00:00,5.976,7.726,9.36,3.4576871,138.08774,96.01273,1028.9147,6.478083,5.159199,0,3,0,0
180,2024-12-27 23:00:00+00:00,4.526,6.326,15.84,7.4128532,228.70702,95.49392,1025.1107,5.1843333,3.21378,0,3,0,0
